freq(Hz) real imag
-1144205.7291667 101.058 -51.462
-1142578.1250000 95.101 -55.700
-1140950.5208333 101.901 -54.068
-1139322.9166667 93.606 -54.292
-1137695.3125000 102.995 -60.153
-1136067.7083333 97.488 -50.620
-1134440.1041667 99.380 -65.825
-1132812.5000000 111.628 -50.527
-1131184.8958333 93.712 -52.733
-1129557.2916667 108.340 -59.199
-1127929.6875000 99.419 -46.512
-1126302.0833333 101.304 -60.684
-1124674.4791667 106.762 -45.734
-1123046.8750000 92.627 -52.461
-1121419.2708333 101.355 -53.299
-1119791.6666667 89.492 -54.825
-1118164.0625000 101.907 -67.673
-1116536.4583333 105.686 -56.287
-1114908.8541667 107.124 -60.571
-1113281.2500000 111.387 -47.364
-1111653.6458333 99.679 -46.659
-1110026.0416667 96.788 -44.978
-1108398.4375000 83.919 -57.315
-1106770.8333333 104.092 -66.823
-1105143.2291667 98.491 -49.372
-1103515.6250000 92.591 -66.339
-1101888.0208333 105.630 -63.119
-1100260.4166667 104.926 -64.161
-1098632.8125000 114.207 -53.067
-1097005.2083333 93.746 -50.054
-1095377.6041667 103.033 -67.843
-1093750.0000000 107.872 -55.892
-1092122.3958333 107.447 -62.924
-1090494.7916667 114.932 -49.785
-1088867.1875000 101.248 -53.584
-1087239.5833333 119.010 -54.255
-1085611.9791667 107.747 -29.505
-1083984.3750000 84.976 -38.969
-1082356.7708333 82.993 -56.691
-1080729.1666667 98.720 -64.121
-1079101.5625000 97.222 -48.460
-1077473.9583333 86.566 -64.178
-1075846.3541667 105.109 -61.802
-1074218.7500000 88.519 -57.967
-1072591.1458333 105.632 -79.082
-1070963.5416667 118.379 -52.893
-1069335.9375000 102.978 -53.609
-1067708.3333333 112.090 -47.735
-1066080.7291667 92.072 -38.242
-1064453.1250000 85.731 -56.324
-1062825.5208333 93.117 -61.228
-1061197.9166667 99.565 -59.688
-1059570.3125000 95.131 -50.924
-1057942.7083333 85.820 -58.381
-1056315.1041667 88.512 -66.437
-1054687.5000000 96.406 -72.317
-1053059.8958333 104.336 -60.994
-1051432.2916667 88.141 -60.129
-1049804.6875000 94.677 -76.855
-1048177.0833333 105.103 -71.763
-1046549.4791667 108.925 -69.610
-1044921.8750000 110.385 -59.299
-1043294.2708333 102.910 -58.701
-1041666.6666667 101.078 -57.876
-1040039.0625000 97.491 -66.521
-1038411.4583333 113.502 -60.297
-1036783.8541667 89.897 -43.390
-1035156.2500000 77.734 -78.076
-1033528.6458333 107.342 -88.187
-1031901.0416667 123.357 -74.971
-1030273.4375000 121.981 -50.266
-1028645.8333333 96.040 -54.708
-1027018.2291667 110.789 -70.928
-1025390.6250000 114.149 -57.422
-1023763.0208333 122.351 -58.206
-1022135.4166667 113.500 -20.895
-1020507.8125000 62.832 -47.338
-1018880.2083333 102.919 -85.968
-1017252.6041667 116.885 -45.309
-1015625.0000000 88.315 -48.274
-1013997.3958333 92.325 -61.636
-1012369.7916667 97.375 -65.540
-1010742.1875000 108.952 -61.312
-1009114.5833333 106.661 -43.923
-1007486.9791667 82.382 -37.195
-1005859.3750000 65.720 -69.397
-1004231.7708333 103.082 -84.833
-1002604.1666667 103.766 -47.178
-1000976.5625000 67.991 -62.316
-999348.9583333 86.041 -97.980
-997721.3541667 122.692 -88.842
-996093.7500000 118.302 -56.055
-994466.1458333 98.747 -72.635
-992838.5416667 137.511 -73.792
-991210.9375000 126.456 -24.949
-989583.3333333 93.860 -34.009
-987955.7291667 90.287 -34.696
-986328.1250000 69.314 -49.380
-984700.5208333 83.187 -67.640
-983072.9166667 85.344 -67.301
-981445.3125000 101.394 -74.029
-979817.7083333 103.188 -53.890
-978190.1041667 100.306 -60.403
-976562.5000000 108.005 -32.686
-974934.8958333 57.923 -29.061
-973307.2916667 54.577 -78.961
-971679.6875000 91.106 -90.298
-970052.0833333 113.625 -58.192
-968424.4791667 69.420 -32.839
-966796.8750000 58.974 -89.455
-965169.2708333 108.646 -71.707
-963541.6666667 71.267 -48.696
-961914.0625000 77.066 -74.944
-960286.4583333 65.134 -55.484
-958658.8541667 52.149 -100.056
-957031.2500000 93.574 -93.803
-955403.6458333 70.974 -87.265
-953776.0416667 98.405 -107.306
-952148.4375000 95.281 -72.474
-950520.8333333 75.704 -97.962
-948893.2291667 93.177 -100.809
-947265.6250000 91.569 -128.426
-945638.0208333 171.287 -122.818
-944010.4166667 151.215 -27.975
-942382.8125000 97.529 -67.942
-940755.2083333 157.446 -45.645
-939127.6041667 67.241 20.434
-937500.0000000 21.757 -97.074
-935872.3958333 119.309 -98.842
-934244.7916667 77.085 -54.974
-932617.1875000 97.886 -116.191
-930989.5833333 146.047 -46.347
-929361.9791667 67.093 -27.076
-927734.3750000 66.065 -67.847
-926106.7708333 43.902 -80.426
-924479.1666667 99.100 -146.225
-922851.5625000 154.834 -35.927
-921223.9583333 9.438 -40.229
-919596.3541667 83.412 -170.650
-917968.7500000 143.875 -63.223
-916341.1458333 57.464 -95.419
-914713.5416667 151.471 -124.326
-913085.9375000 122.523 -35.644
-911458.3333333 95.194 -94.300
-909830.7291667 148.949 -54.841
-908203.1250000 85.208 -26.512
-906575.5208333 79.526 -65.012
-904947.9166667 76.634 -68.647
-903320.3125000 99.370 -89.805
-901692.7083333 102.193 -42.630
-900065.1041667 40.685 -79.461
-898437.5000000 112.479 -146.139
-896809.8958333 185.959 -62.624
-895182.2916667 115.742 17.384
-893554.6875000 48.439 -28.782
-891927.0833333 76.402 -55.229
-890299.4791667 58.078 -39.183
-888671.8750000 62.582 -67.988
-887044.2708333 59.206 -31.023
-885416.6666667 4.507 -74.030
-883789.0625000 50.129 -100.932
-882161.4583333 14.486 -100.781
-880533.8541667 76.607 -178.179
-878906.2500000 128.733 -85.857
-877278.6458333 69.988 -111.911
-875651.0416667 163.052 -84.751
-874023.4375000 52.332 7.117
-872395.8333333 36.000 -125.187
-870768.2291667 117.027 -34.808
-869140.6250000 -52.754 -26.722
-867513.0208333 -29.260 -213.885
-865885.4166667 122.602 -213.141
-864257.8125000 157.502 -111.230
-862630.2083333 94.153 -71.625
-861002.6041667 83.641 -99.390
-859375.0000000 60.742 -77.442
-857747.3958333 30.212 -154.857
-856119.7916667 130.434 -169.313
-854492.1875000 126.776 -90.413
-852864.5833333 78.616 -88.402
-851236.9791667 43.654 -140.231
-849609.3750000 133.110 -204.865
-847981.7708333 183.445 -88.305
-846354.1666667 86.663 -99.241
-844726.5625000 153.562 -139.695
-843098.9583333 142.668 -81.950
-841471.3541667 157.745 -108.061
-839843.7500000 162.491 -25.358
-838216.1458333 81.197 -57.615
-836588.5416667 140.645 -77.798
-834960.9375000 104.403 -17.683
-833333.3333333 65.734 -65.394
-831705.7291667 102.745 -87.691
-830078.1250000 138.187 -43.827
-828450.5208333 75.376 20.144
-826822.9166667 17.061 -31.883
-825195.3125000 16.203 -22.118
-823567.7083333 -82.772 -71.710
-821940.1041667 -42.875 -202.671
-820312.5000000 37.258 -227.896
-818684.8958333 125.026 -216.176
-817057.2916667 114.846 -119.895
-815429.6875000 65.644 -198.523
-813802.0833333 200.063 -178.539
-812174.4791667 120.434 -70.291
-810546.8750000 96.784 -184.504
-808919.2708333 217.153 -146.060
-807291.6666667 179.180 -38.268
-805664.0625000 81.526 -50.558
-804036.4583333 96.981 -151.565
-802408.8541667 195.732 -103.858
-800781.2500000 134.273 -40.142
-799153.6458333 122.943 -64.443
-797526.0416667 79.655 -71.285
-795898.4375000 175.640 -162.057
-794270.8333333 258.809 69.646
-792643.2291667 -38.514 94.730
-791015.6250000 4.028 -123.836
-789388.0208333 46.718 -59.928
-787760.4166667 39.525 -165.723
-786132.8125000 181.430 -69.088
-784505.2083333 21.247 14.518
-782877.6041667 10.549 -95.266
-781250.0000000 -28.017 -79.314
-779622.3958333 -18.707 -261.908
-777994.7916667 204.619 -204.559
-776367.1875000 106.323 -54.799
-774739.5833333 73.720 -172.815
-773111.9791667 192.412 -116.888
-771484.3750000 88.545 -5.229
-769856.7708333 -15.219 -150.090
-768229.1666667 184.098 -235.572
-766601.5625000 221.755 7.561
-764973.9583333 -11.719 -34.008
-763346.3541667 105.295 -191.885
-761718.7500000 160.959 -57.777
-760091.1458333 93.693 -64.324
-758463.5416667 77.402 -17.236
-756835.9375000 -54.454 -126.960
-755208.3333333 144.969 -258.023
-753580.7291667 200.380 -61.641
-751953.1250000 133.402 -91.304
-750325.5208333 192.784 32.868
-748697.9166667 -55.821 52.314
-747070.3125000 -9.902 -163.112
-745442.7083333 45.513 -93.873
-743815.1041667 30.799 -191.386
-742187.5000000 151.038 -107.464
-740559.8958333 11.974 -100.758
-738932.2916667 143.064 -183.438
-737304.6875000 85.558 -20.162
-735677.0833333 36.106 -181.020
-734049.4791667 152.597 -46.939
-732421.8750000 -103.191 -109.341
-730794.2708333 132.531 -332.464
-729166.6666667 179.545 -67.789
-727539.0625000 34.904 -228.010
-725911.4583333 295.111 -228.064
-724283.8541667 244.563 -29.417
-722656.2500000 184.330 -34.638
-721028.6458333 134.697 -28.663
-719401.0416667 193.574 -77.371
-717773.4375000 194.706 76.677
-716145.8333333 61.696 28.764
-714518.2291667 128.144 46.437
-712890.6250000 -21.776 90.039
-711263.0208333 -14.343 -26.672
-709635.4166667 -82.541 5.042
-708007.8125000 -39.430 -247.372
-706380.2083333 257.241 -27.638
-704752.6041667 -126.046 149.419
-703125.0000000 -97.089 -239.279
-701497.3958333 109.825 -39.684
-699869.7916667 -107.983 -81.399
-698242.1875000 94.568 -116.221
-696614.5833333 -174.081 92.189
-694986.9791667 -264.979 -418.578
-693359.3750000 280.026 -341.066
-691731.7708333 59.280 39.364
-690104.1666667 -100.727 -235.930
-688476.5625000 125.833 -264.131
-686848.9583333 151.604 -127.835
-685221.3541667 54.528 -38.602
-683593.7500000 -66.485 -175.053
-681966.1458333 110.343 -240.986
-680338.5416667 65.916 -134.630
-678710.9375000 172.215 -240.554
-677083.3333333 194.514 124.233
-675455.7291667 -314.404 -75.640
-673828.1250000 118.470 -513.664
-672200.5208333 315.922 6.634
-670572.9166667 -88.111 -38.527
-668945.3125000 39.621 -208.866
-667317.7083333 15.821 -182.368
-665690.1041667 145.583 -257.638
-664062.5000000 153.007 -67.291
-662434.8958333 16.120 -127.717
-660807.2916667 36.833 -227.408
-659179.6875000 247.359 -343.107
-657552.0833333 451.218 102.177
-655924.4791667 -174.403 183.495
-654296.8750000 83.383 -392.275
-652669.2708333 356.927 209.669
-651041.6666667 -320.711 77.422
-649414.0625000 99.887 -322.902
-647786.4583333 65.297 105.216
-646158.8541667 -87.932 -217.956
-644531.2500000 218.154 -1.679
-642903.6458333 -195.923 56.046
-641276.0416667 25.297 -251.622
-639648.4375000 46.367 101.979
-638020.8333333 -223.331 -84.174
-636393.2291667 -51.281 -118.454
-634765.6250000 -233.314 -97.071
-633138.0208333 -144.869 -317.640
-631510.4166667 -66.189 -240.387
-629882.8125000 -67.158 -320.577
-628255.2083333 26.196 -275.113
-626627.6041667 9.275 -309.316
-625000.0000000 158.440 -244.846
-623372.3958333 27.240 -126.105
-621744.7916667 69.049 -237.284
-620117.1875000 52.614 -45.103
-618489.5833333 -138.225 -237.141
-616861.9791667 172.513 -248.302
-615234.3750000 -59.971 40.772
-613606.7708333 -168.238 -333.271
-611979.1666667 163.087 -163.926
-610351.5625000 -242.012 -8.835
-608723.9583333 -188.667 -457.389
-607096.3541667 71.351 -219.984
-605468.7500000 -301.518 -248.122
-603841.1458333 -85.705 -654.243
-602213.5416667 195.752 -437.830
-600585.9375000 78.767 -397.096
-598958.3333333 242.836 -464.128
-597330.7291667 385.287 -265.486
-595703.1250000 313.610 48.091
-594075.5208333 -179.384 129.612
-592447.9166667 -302.036 -459.373
-590820.3125000 248.629 -474.041
-589192.7083333 88.133 -72.393
-587565.1041667 -133.062 -336.465
-585937.5000000 73.409 -408.364
-584309.8958333 30.174 -383.860
-582682.2916667 181.807 -523.755
-581054.6875000 375.738 -300.887
-579427.0833333 175.127 -145.242
-577799.4791667 158.700 -297.340
-576171.8750000 257.459 -132.883
-574544.2708333 -43.612 -121.387
-572916.6666667 57.162 -456.483
-571289.0625000 315.543 -304.794
-569661.4583333 250.355 -195.676
-568033.8541667 295.941 -89.686
-566406.2500000 109.669 50.711
-564778.6458333 -34.174 12.686
-563151.0416667 -301.648 -58.009
-561523.4375000 -330.391 -519.198
-559895.8333333 -21.360 -611.954
-558268.2291667 59.264 -746.664
-556640.6250000 587.315 -749.522
-555013.0208333 708.306 -210.624
-553385.4166667 552.776 37.709
-551757.8125000 174.411 348.268
-550130.2083333 -349.336 -122.475
-548502.6041667 78.827 -528.794
-546875.0000000 220.407 -337.650
-545247.3958333 357.613 -383.824
-543619.7916667 445.867 -52.784
-541992.1875000 181.422 34.977
-540364.5833333 -2.511 -34.853
-538736.9791667 12.055 -425.140
-537109.3750000 552.984 -213.699
-535481.7708333 63.411 208.348
-533854.1666667 55.196 -356.383
-532226.5625000 367.522 81.998
-530598.9583333 -205.122 -46.642
-528971.3541667 276.523 -355.063
-527343.7500000 195.157 196.662
-525716.1458333 -180.228 -48.990
-524088.5416667 -69.924 -246.408
-522460.9375000 187.749 -332.565
-520833.3333333 269.037 201.049
-519205.7291667 -440.486 52.842
-517578.1250000 -40.138 -427.048
-515950.5208333 -135.917 22.713
-514322.9166667 -356.342 -581.558
-512695.3125000 325.845 -419.485
-511067.7083333 -109.880 -58.810
-509440.1041667 -79.947 -442.718
-507812.5000000 -32.894 -206.981
-506184.8958333 -308.169 -464.874
-504557.2916667 -89.379 -759.030
-502929.6875000 259.611 -901.016
-501302.0833333 738.724 -511.575
-499674.4791667 360.630 -11.776
-498046.8750000 86.052 -354.832
-496419.2708333 415.375 -476.961
-494791.6666667 640.208 -113.557
-493164.0625000 175.070 323.247
-491536.4583333 -302.770 -308.197
-489908.8541667 480.606 -557.075
-488281.2500000 397.381 222.485
-486653.6458333 -141.222 -50.312
-485026.0416667 73.230 -198.439
-483398.4375000 -109.028 -208.754
-481770.8333333 135.609 -502.538
-480143.2291667 338.020 -118.954
-478515.6250000 -80.088 -59.637
-476888.0208333 -88.059 -458.062
-475260.4166667 286.049 -537.302
-473632.8125000 483.113 -174.234
-472005.2083333 120.350 87.476
-470377.6041667 -115.830 -283.748
-468750.0000000 261.039 -459.129
-467122.3958333 435.235 -128.715
-465494.7916667 269.744 143.424
-463867.1875000 -137.788 257.602
-462239.5833333 -517.741 -220.106
-460611.9791667 -80.621 -682.807
-458984.3750000 236.970 -371.329
-457356.7708333 111.754 -293.450
-455729.1666667 189.716 -167.242
-454101.5625000 -208.806 -81.314
-452473.9583333 -207.933 -628.344
-450846.3541667 228.001 -504.396
-449218.7500000 -34.884 -397.392
-447591.1458333 189.898 -774.457
-445963.5416667 585.745 -400.068
-444335.9375000 241.115 -81.407
-442708.3333333 -28.029 -339.345
-441080.7291667 160.368 -713.687
-439453.1250000 761.194 -589.799
-437825.5208333 700.167 182.490
-436197.9166667 -55.481 135.603
-434570.3125000 48.826 -444.258
-432942.7083333 413.424 -263.471
-431315.1041667 200.631 -68.648
-429687.5000000 101.468 -267.573
-428059.8958333 268.895 -359.049
-426432.2916667 429.677 -247.782
-424804.6875000 411.192 -9.870
-423177.0833333 167.721 44.072
-421549.4791667 149.259 -134.726
-419921.8750000 260.981 -23.944
-418294.2708333 67.144 32.715
-416666.6666667 131.202 -89.183
-415039.0625000 85.257 203.711
-413411.4583333 -440.906 44.277
-411783.8541667 -280.017 -563.010
-410156.2500000 232.092 -437.912
-408528.6458333 103.670 -77.033
-406901.0416667 -136.324 -236.814
-405273.4375000 46.222 -337.102
-403645.8333333 -73.904 -132.421
-402018.2291667 -302.527 -477.252
-400390.6250000 116.523 -666.188
-398763.0208333 144.343 -367.803
-397135.4166667 51.934 -550.156
-395507.8125000 334.460 -461.000
-393880.2083333 80.462 -243.503
-392252.6041667 -29.476 -692.956
-390625.0000000 597.933 -789.302
-388997.3958333 744.912 -131.411
-387369.7916667 277.931 -5.858
-385742.1875000 273.345 -120.762
-384114.5833333 21.538 -48.507
-382486.9791667 44.248 -525.777
-380859.3750000 488.673 -313.914
-379231.7708333 218.993 -168.587
-377604.1666667 456.531 -226.495
-375976.5625000 127.074 160.896
-374348.9583333 16.253 -479.596
